"Word"	"Duration"	"Speaker"	"File"	"POS"	"Ideal"	"Surface"	"ParseIdeal"	"ParseSurface"	"Prepausal"	"SylNIdeal"	"SylNSurface"	"StressGuess"	"TimeInto"	"IsYoung"	"IsMale"	"IntIsMale"
"right"	378	1	"01b"	"RB"	"r2t"	"r2t"	"r2t"	"r2t"	1	1	1	"1"	419.4521	1	0	0
"no"	302	1	"01b"	"DT"	"n5"	"n5"	"n5"	"n5"	1	1	1	"1"	420.1292	1	0	0
"definitely"	769	1	"01b"	"RB"	"dEfInItli"	"dEfVnVYli"	"dE.fI.nIt.li"	"dE.fV.nVY.li"	0	4	4	"1000"	435.4564	1	0	0
"and"	191	1	"01b"	"CC"	"{nd"	"E"	"{nd"	"E"	0	1	1	"0"	436.2204	1	0	0
"it"	201	1	"01b"	"PRP"	"It"	"nIt"	"It"	"nIt"	0	1	1	"1"	436.4112	1	0	0
"really"	200	1	"01b"	"RB"	"rili"	"rIli"	"ri.li"	"rI.li"	0	2	2	"10"	436.6108	1	0	0
"makes"	219	1	"01b"	"VBZ"	"m1ks"	"m1ks"	"m1ks"	"m1ks"	0	1	1	"1"	436.8092	1	0	0
"you"	119	1	"01b"	"PRP"	"ju"	"Ju"	"ju"	"Ju"	0	1	1	"1"	437.0264	1	0	0
"aware"	247	1	"01b"	"JJ"	"VwEr"	"wEr"	"V.wEr"	"wEr"	0	2	1	"?"	437.1435	1	0	0
"of"	65	1	"01b"	"IN"	"Vv"	"f"	"Vv"	"f"	0	1	1	"1"	437.3886	1	0	0
"your"	81	1	"01b"	"PRP$"	"j5r"	"j3"	"j5r"	"j3"	0	1	1	"1"	437.4532	1	0	0
"own"	100	1	"01b"	"JJ"	"5n"	"5m"	"5n"	"5m"	0	1	1	"1"	437.5335	1	0	0
"mortality"	579	1	"01b"	"NN"	"m5rt{lVti"	"mQrt{lVRi"	"m5r.t{.lV.ti"	"mQr.t{.lV.Ri"	0	4	4	"0100"	437.6327	1	0	0
"i"	131	1	"01b"	"PRP"	"2"	"I"	"2"	"I"	0	1	1	"1"	438.2077	1	0	0
"mean"	217	1	"01b"	"VBP"	"min"	"min"	"min"	"min"	0	1	1	"1"	438.3383	1	0	0
"things"	234	1	"01b"	"NNS"	"TINz"	"TINz"	"TINz"	"TINz"	0	1	1	"1"	438.553	1	0	0
"you"	60	1	"01b"	"PRP"	"ju"	"jI"	"ju"	"jI"	0	1	1	"1"	438.784	1	0	0
"see"	223	1	"01b"	"VBP"	"si"	"si"	"si"	"si"	0	1	1	"1"	438.843	1	0	0
"every"	213	1	"01b"	"DT"	"Evri"	"Efri"	"E.vri"	"E.fri"	0	2	2	"10"	439.0653	1	0	0
"day"	322	1	"01b"	"NN"	"d1"	"d1"	"d1"	"d1"	0	1	1	"1"	439.2771	1	0	0
"i"	119	1	"01b"	"PRP"	"2"	"E"	"2"	"E"	0	1	1	"1"	439.5975	1	0	0
"mean"	316	1	"01b"	"JJ"	"min"	"min"	"min"	"min"	0	1	1	"1"	439.7164	1	0	0
"never"	337	1	"01b"	"RB"	"nEv3"	"nEf3"	"nE.v3"	"nE.f3"	0	2	2	"10"	440.0306	1	0	0
"know"	252	1	"01b"	"VBP"	"n5"	"n5"	"n5"	"n5"	0	1	1	"1"	440.3672	1	0	0
"it"	141	1	"01b"	"PRP"	"It"	"2t"	"It"	"2t"	0	1	1	"1"	440.6185	1	0	0
"can"	117	1	"01b"	"MD"	"k{n"	"kIn"	"k{n"	"kIn"	0	1	1	"1"	440.7592	1	0	0
"happen"	272	1	"01b"	"VB"	"h{pVn"	"h{pEn"	"h{.pVn"	"h{.pEn"	0	2	2	"10"	440.8744	1	0	0
"to"	92	1	"01b"	"TO"	"tu"	"nI"	"tu"	"nI"	0	1	1	"1"	441.1433	1	0	0
"anybody"	443	1	"01b"	"NN"	"EnibVdi"	"EnibVRi"	"E.ni.bV.di"	"E.ni.bV.Ri"	0	4	4	"1000"	441.2333	1	0	0
"anytime"	578	1	"01b"	"RB"	"Enit2m"	"Enit2m"	"E.ni.t2m"	"E.ni.t2m"	1	3	3	"102"	441.6738	1	0	0
"just"	211	1	"01b"	"RB"	"_Vst"	"tVs"	"_Vst"	"tVs"	0	1	1	"1"	442.8562	1	0	0
"like"	114	1	"01b"	"IN"	"l2k"	"l2k"	"l2k"	"l2k"	0	1	1	"1"	443.0661	1	0	0
"that"	142	1	"01b"	"DT"	"D{t"	"TER"	"D{t"	"TER"	0	1	1	"1"	443.1779	1	0	0
"accident"	466	1	"01b"	"NN"	"{ksIdVnt"	"{ksIdiY"	"{ks.I.dVnt"	"{ks.I.diY"	0	3	3	"100"	443.3185	1	0	0
"yesterday"	509	1	"01b"	"NN"	"jEst3d1"	"jEsSd1"	"jE.st3.d1"	"jEsS.d1"	0	3	2	"??"	443.7807	1	0	0
"with"	327	1	"01b"	"IN"	"wIT"	"wIT"	"wIT"	"wIT"	0	1	1	"1"	444.2884	1	0	0
"um"	330	1	"01b"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	1	1	1	"1"	444.6148	1	0	0
"right"	468	1	"01b"	"RB"	"r2t"	"r2t"	"r2t"	"r2t"	1	1	1	"1"	446.2778	1	0	0
"i"	95	1	"01b"	"PRP"	"2"	"2"	"2"	"2"	0	1	1	"1"	447.0421	1	0	0
"mean"	162	1	"01b"	"VB"	"min"	"mi"	"min"	"mi"	0	1	1	"1"	447.1371	1	0	0
"you"	91	1	"01b"	"PRP"	"ju"	"jI"	"ju"	"jI"	0	1	1	"1"	447.2981	1	0	0
"just"	174	1	"01b"	"RB"	"_Vst"	"_Is"	"_Vst"	"_Is"	0	1	1	"1"	447.3883	1	0	0
"never"	260	1	"01b"	"RB"	"nEv3"	"nEv3"	"nE.v3"	"nE.v3"	0	2	2	"10"	447.5606	1	0	0
"know"	311	1	"01b"	"VBP"	"n5"	"n5"	"n5"	"n5"	1	1	1	"1"	447.8198	1	0	0
"how"	178	1	"01b"	"WRB"	"h6"	"h6"	"h6"	"h6"	0	1	1	"1"	448.3021	1	0	0
"freaky"	468	1	"01b"	"JJ"	"friki"	"friki"	"fri.ki"	"fri.ki"	1	2	2	"10"	448.4792	1	0	0
"it's"	182	1	"01b"	"PRP_VBZ"	"Its"	"Es"	"Its"	"Es"	0	1	1	"1"	450.2966	1	0	0
"just"	190	1	"01b"	"RB"	"_Vst"	"Ist"	"_Vst"	"Ist"	0	1	1	"1"	450.4782	1	0	0
"weird"	328	1	"01b"	"JJ"	"wIrd"	"wird"	"wIrd"	"wird"	1	1	1	"1"	450.6666	1	0	0
"right"	195	1	"01b"	"RB"	"r2t"	"r2Y"	"r2t"	"r2Y"	1	1	1	"1"	458.7352	1	0	0
"my"	227	1	"01b"	"PRP$"	"m2"	"hm2"	"m2"	"hm2"	0	1	1	"1"	474.163	1	0	0
"father"	314	1	"01b"	"NN"	"fQD3"	"fQD3"	"fQ.D3"	"fQ.D3"	0	2	2	"10"	474.3885	1	0	0
"died"	213	1	"01b"	"VBD"	"d2d"	"d2R"	"d2d"	"d2R"	0	1	1	"1"	474.7	1	0	0
"when"	142	1	"01b"	"WRB"	"wEn"	"wEn"	"wEn"	"wEn"	0	1	1	"1"	474.9119	1	0	0
"i"	114	1	"01b"	"PRP"	"2"	"2"	"2"	"2"	0	1	1	"1"	475.0518	1	0	0
"was"	234	1	"01b"	"VBD"	"wVz"	"wVs"	"wVz"	"wVs"	0	1	1	"1"	475.1649	1	0	0
"two"	320	1	"01b"	"CD"	"tu"	"tu"	"tu"	"tu"	0	1	1	"1"	475.3978	1	0	0
"so"	298	1	"01b"	"RB"	"s5"	"sQ"	"s5"	"sQ"	0	1	1	"1"	475.717	1	0	0
"i"	145	1	"01b"	"PRP"	"2"	"2"	"2"	"2"	0	1	1	"1"	476.0135	1	0	0
"think"	350	1	"01b"	"VBP"	"TINk"	"TINk"	"TINk"	"TINk"	0	1	1	"1"	476.1583	1	0	0
"just"	177	1	"01b"	"RB"	"_Vst"	"tIst"	"_Vst"	"tIst"	0	1	1	"1"	476.5061	1	0	0
"being"	259	1	"01b"	"VBG"	"biIN"	"bIN"	"bi.IN"	"bIN"	0	2	1	"?"	476.6812	1	0	0
"raised"	451	1	"01b"	"VBN"	"r1zd"	"r1zt"	"r1zd"	"r1zt"	0	1	1	"1"	476.9385	1	0	0
"yknow"	297	1	"01b"	"PRP_VBP"	"jun5"	"jIn5"	"ju.n5"	"jI.n5"	0	2	2	"??"	477.3866	1	0	0
"by"	221	1	"01b"	"IN"	"b2"	"b2"	"b2"	"b2"	0	1	1	"1"	477.6818	1	0	0
"a"	77	1	"01b"	"DT"	"1"	"E"	"1"	"E"	0	1	1	"0"	477.9018	1	0	0
"single"	481	1	"01b"	"JJ"	"sINgP"	"sINkP"	"sIN.gP"	"sIN.kP"	1	2	2	"10"	477.9784	1	0	0
"parent"	580	1	"01b"	"NN"	"pErVnt"	"pErEt"	"pE.rVnt"	"pE.rEt"	1	2	2	"10"	478.7223	1	0	0
"made"	202	1	"01b"	"VBN"	"m1d"	"m1d"	"m1d"	"m1d"	0	1	1	"1"	480.2189	1	0	0
"you"	164	1	"01b"	"PRP"	"ju"	"Zu"	"ju"	"Zu"	0	1	1	"1"	480.4195	1	0	0
"well"	190	1	"01b"	"RB"	"wEl"	"wVl"	"wEl"	"wVl"	0	1	1	"1"	480.5822	1	0	0
"aware"	320	1	"01b"	"JJ"	"VwEr"	"VwEr"	"V.wEr"	"V.wEr"	0	2	2	"01"	480.7711	1	0	0
"of"	302	1	"01b"	"IN"	"Vv"	"Vf"	"Vv"	"Vf"	1	1	1	"1"	481.0904	1	0	0
"um"	153	1	"01b"	"UH"	"Vm"	"F"	"Vm"	"F"	0	1	1	"1"	497.317	1	0	0
"hum"	163	1	"01b"	"NN"	"hVm"	"hF"	"hVm"	"hF"	1	1	1	"1"	497.4693	1	0	0
"yes"	409	1	"01b"	"UH"	"jEs"	"jEs"	"jEs"	"jEs"	1	1	1	"1"	500.4149	1	0	0
"uh"	56	1	"01b"	"UH"	"V"	"I"	"V"	"I"	0	1	1	"1"	506.2394	1	0	0
"his"	167	1	"01b"	"PRP$"	"hIz"	"hIz"	"hIz"	"hIz"	0	1	1	"1"	506.2947	1	0	0
"mother"	322	1	"01b"	"NN"	"mVD3"	"mVD3"	"mV.D3"	"mV.D3"	0	2	2	"10"	506.4602	1	0	0
"died"	591	1	"01b"	"VBD"	"d2d"	"d2d"	"d2d"	"d2d"	0	1	1	"1"	506.7809	1	0	0
"um"	354	1	"01b"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	0	1	1	"1"	507.371	1	0	0
"the"	173	1	"01b"	"DT"	"Di"	"TV"	"Di"	"TV"	0	1	1	"0"	507.7236	1	0	0
"week"	186	1	"01b"	"NN"	"wik"	"wik"	"wik"	"wik"	0	1	1	"1"	507.896	1	0	0
"after"	238	1	"01b"	"IN"	"{ft3"	"{ft3"	"{f.t3"	"{f.t3"	0	2	2	"10"	508.0795	1	0	0
"we"	108	1	"01b"	"PRP"	"wi"	"wi"	"wi"	"wi"	0	1	1	"1"	508.3148	1	0	0
"got"	198	1	"01b"	"VBD"	"gQt"	"gQY"	"gQt"	"gQY"	0	1	1	"1"	508.4221	1	0	0
"married"	489	1	"01b"	"JJ"	"m{rid"	"mErid"	"m{.rid"	"mE.rid"	1	2	2	"10"	508.6196	1	0	0
"she"	192	1	"01b"	"PRP"	"Si"	"Si"	"Si"	"Si"	0	1	1	"1"	509.3078	1	0	0
"had"	364	1	"01b"	"VBD"	"h{d"	"h{d"	"h{d"	"h{d"	0	1	1	"1"	509.4994	1	0	0
"diabetes"	951	1	"01b"	"NN"	"d2Vbitiz"	"d2VbiRis"	"d2.V.bi.tiz"	"d2.V.bi.Ris"	0	4	4	"2010"	509.8613	1	0	0
"um"	373	1	"01b"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	1	1	1	"1"	510.8074	1	0	0
"uh"	251	1	"01b"	"UH"	"V"	"V"	"V"	"V"	0	1	1	"1"	512.2713	1	0	0
"juvenile"	349	1	"01b"	"NN"	"_uvVn2l"	"_uvVn2Vl"	"_u.vV.n2l"	"_u.vV.n2.Vl"	0	3	4	"????"	512.5213	1	0	0
"diabetes"	487	1	"01b"	"VBZ"	"d2Vbitiz"	"d2VbiRIs"	"d2.V.bi.tiz"	"d2.V.bi.RIs"	0	4	4	"2010"	512.8675	1	0	0
"diagnosed"	531	1	"01b"	"VBN"	"d2Vgn5st"	"d2In5s"	"d2.Vg.n5st"	"d2.I.n5s"	0	3	3	"201"	513.3514	1	0	0
"at"	84	1	"01b"	"IN"	"{t"	"Et"	"{t"	"Et"	0	1	1	"1"	513.8787	1	0	0
"age"	241	1	"01b"	"NN"	"1_"	"1_"	"1_"	"1_"	0	1	1	"1"	513.9613	1	0	0
"eleven"	403	1	"01b"	"NN"	"ElEvVn"	"IlEvIn"	"E.lE.vVn"	"I.lE.vIn"	0	3	3	"010"	514.2013	1	0	0
"and"	151	1	"01b"	"CC"	"{nd"	"En"	"{nd"	"En"	0	1	1	"0"	514.6013	1	0	0
"just"	255	1	"01b"	"RB"	"_Vst"	"_Vst"	"_Vst"	"_Vst"	1	1	1	"1"	514.7513	1	0	0
"over"	221	1	"01b"	"IN"	"5v3"	"5vI"	"5.v3"	"5.vI"	0	2	2	"10"	515.3647	1	0	0
"the"	129	1	"01b"	"DT"	"Di"	"Di"	"Di"	"Di"	0	1	1	"0"	515.5849	1	0	0
"years"	411	1	"01b"	"NNS"	"jIrz"	"jIrs"	"jIrz"	"jIrs"	0	1	1	"1"	515.7128	1	0	0
"um"	277	1	"01b"	"UH"	"Vm"	"Vm"	"Vm"	"Vm"	0	1	1	"1"	516.1213	1	0	0
"ended"	256	1	"01b"	"VBD"	"EndVd"	"EndIR"	"En.dVd"	"En.dIR"	0	2	2	"10"	516.3975	1	0	0
"up"	119	1	"01b"	"RP"	"Vp"	"Vp"	"Vp"	"Vp"	0	1	1	"1"	516.6509	1	0	0
"having"	360	1	"01b"	"VBG"	"h{vIN"	"h{vIN"	"h{.vIN"	"h{.vIN"	0	2	2	"10"	516.7685	1	0	0
"open"	250	1	"01b"	"JJ"	"5pVn"	"5pVn"	"5.pVn"	"5.pVn"	0	2	2	"10"	517.1257	1	0	0
"heart"	152	1	"01b"	"NN"	"hQrt"	"hQrY"	"hQrt"	"hQrY"	0	1	1	"1"	517.3734	1	0	0
"surgery"	514	1	"01b"	"NN"	"s3_Vri"	"sVr_Vri"	"s3._V.ri"	"sVr._V.ri"	0	3	3	"100"	517.5229	1	0	0
"and"	232	1	"01b"	"CC"	"{nd"	"{n"	"{nd"	"{n"	1	1	1	"0"	518.0349	1	0	0
"didn't"	201	1	"01b"	"VBP_RB"	"dIdHt"	"dIn"	"dI.dHt"	"dIn"	0	2	1	"1"	518.8778	1	0	0
"make"	196	1	"01b"	"VBP"	"m1k"	"m1k"	"m1k"	"m1k"	0	1	1	"1"	519.0771	1	0	0
"it"	76	1	"01b"	"PRP"	"It"	"It"	"It"	"It"	0	1	1	"1"	519.2721	1	0	0
"through"	120	1	"01b"	"IN"	"Tru"	"Tru"	"Tru"	"Tru"	0	1	1	"1"	519.3472	1	0	0
"the"	77	1	"01b"	"DT"	"Di"	"DI"	"Di"	"DI"	0	1	1	"0"	519.4668	1	0	0
"surgery"	482	1	"01b"	"NN"	"s3_Vri"	"s3s3i"	"s3._V.ri"	"s3.s3.i"	1	3	3	"100"	519.5421	1	0	0
"my"	81	1	"01b"	"PRP$"	"m2"	"m2"	"m2"	"m2"	0	1	1	"1"	520.7671	1	0	0
"grandmother"	403	1	"01b"	"NN"	"gr{ndmVD3"	"gr{mVDVr"	"gr{nd.mV.D3"	"gr{.mV.DVr"	0	3	3	"120"	520.8475	1	0	0
"also"	240	1	"01b"	"RB"	"Qls5"	"Qls5"	"Qls.5"	"Qls.5"	0	2	2	"10"	521.247	1	0	0
"died"	201	1	"01b"	"VBD"	"d2d"	"d2d"	"d2d"	"d2d"	0	1	1	"1"	521.4845	1	0	0
"during"	208	1	"01b"	"IN"	"durIN"	"d3IN"	"du.rIN"	"d3.IN"	0	2	2	"10"	521.6839	1	0	0
"open"	173	1	"01b"	"JJ"	"5pVn"	"5pVn"	"5.pVn"	"5.pVn"	0	2	2	"10"	521.8897	1	0	0
"heart"	147	1	"01b"	"NN"	"hQrt"	"hQrt"	"hQrt"	"hQrt"	0	1	1	"1"	522.0605	1	0	0
"surgery"	314	1	"01b"	"NN"	"s3_Vri"	"s3_3i"	"s3._V.ri"	"s3._3.i"	0	3	3	"100"	522.2054	1	0	0
"so"	264	1	"01b"	"RB"	"s5"	"s5"	"s5"	"s5"	1	1	1	"1"	522.5171	1	0	0
"my"	83	1	"01b"	"PRP$"	"m2"	"m2"	"m2"	"m2"	0	1	1	"1"	523.2614	1	0	0
"perception"	548	1	"01b"	"NN"	"p3sEpSVn"	"p3sEpSVn"	"p3.sEp.SVn"	"p3.sEp.SVn"	0	3	3	"010"	523.3436	1	0	0
"of"	103	1	"01b"	"IN"	"Vv"	"Vv"	"Vv"	"Vv"	0	1	1	"1"	523.887	1	0	0
"open"	219	1	"01b"	"JJ"	"5pVn"	"5pVn"	"5.pVn"	"5.pVn"	0	2	2	"10"	523.9895	1	0	0
"heart"	163	1	"01b"	"NN"	"hQrt"	"hQrt"	"hQrt"	"hQrt"	0	1	1	"1"	524.2076	1	0	0
"surgery"	370	1	"01b"	"NN"	"s3_Vri"	"s3_3i"	"s3._V.ri"	"s3._3.i"	0	3	3	"100"	524.3687	1	0	0
"even"	216	1	"01b"	"RB"	"ivVn"	"ifIn"	"i.vVn"	"i.fIn"	0	2	2	"10"	524.7356	1	0	0
"though"	126	1	"01b"	"IN"	"D5"	"n5"	"D5"	"n5"	0	1	1	"1"	524.9504	1	0	0
"i'm"	176	1	"01b"	"PRP_VBP"	"2m"	"2m"	"2m"	"2m"	0	1	1	"1"	525.0749	1	0	0
"a"	37	1	"01b"	"DT"	"1"	"V"	"1"	"V"	0	1	1	"0"	525.2506	1	0	0
"nurse"	342	1	"01b"	"NN"	"n3s"	"n3s"	"n3s"	"n3s"	1	1	1	"1"	525.2871	1	0	0
"not"	230	1	"01b"	"RB"	"nQt"	"nQt"	"nQt"	"nQt"	0	1	1	"1"	526.4173	1	0	0
"very"	198	1	"01b"	"RB"	"vEri"	"vEri"	"vE.ri"	"vE.ri"	0	2	2	"10"	526.6459	1	0	0
"good"	180	1	"01b"	"JJ"	"gUd"	"gUd"	"gUd"	"gUd"	0	1	1	"1"	526.8412	1	0	0
"just"	218	1	"01b"	"RB"	"_Vst"	"_Ist"	"_Vst"	"_Ist"	0	1	1	"1"	527.0193	1	0	0
"because"	317	1	"01b"	"IN"	"bIkVz"	"bikVz"	"bI.kVz"	"bi.kVz"	0	2	2	"01"	527.2357	1	0	0
"of"	222	1	"01b"	"IN"	"Vv"	"Vv"	"Vv"	"Vv"	1	1	1	"1"	527.5505	1	0	0
"the"	86	1	"01b"	"DT"	"Di"	"DV"	"Di"	"DV"	0	1	1	"0"	528.0095	1	0	0
"two"	421	1	"01b"	"CD"	"tu"	"tu"	"tu"	"tu"	1	1	1	"1"	528.0941	1	0	0
"family"	373	1	"01b"	"NN"	"f{mVli"	"f{mli"	"f{.mV.li"	"f{m.li"	0	3	2	"10"	529.1005	1	0	0
"experiences"	772	1	"01b"	"NNS"	"EkspIriVnsVz"	"IkspIriEnsVs"	"Ek.spI.ri.Vns.Vz"	"Ik.spI.ri.Ens.Vs"	1	5	5	"01000"	529.4704	1	0	0
"nothing's"	422	1	"01b"	"NNS"	"nVTiNz"	"nVTINgs"	"nV.TiNz"	"nV.TINgs"	0	2	2	"10"	542.9649	1	0	0
"coming"	300	1	"01b"	"VBG"	"kVmIN"	"kVmIN"	"kV.mIN"	"kV.mIN"	0	2	2	"10"	543.3829	1	0	0
"to"	41	1	"01b"	"TO"	"tu"	"dV"	"tu"	"dV"	0	1	1	"1"	543.6809	1	0	0
"mind"	437	1	"01b"	"VB"	"m2nd"	"m2nd"	"m2nd"	"m2nd"	1	1	1	"1"	543.7201	1	0	0
"no"	317	1	"01b"	"DT"	"n5"	"n5"	"n5"	"n5"	1	1	1	"1"	544.4006	1	0	0
"oh"	154	1	"01b"	"NN"	"5"	"5"	"5"	"5"	0	1	1	"1"	556.3289	1	0	0
"wow"	329	1	"01b"	"NN"	"w6"	"w6"	"w6"	"w6"	1	1	1	"1"	556.4826	1	0	0
"no"	489	1	"02a"	"DT"	"n5"	"n5"	"n5"	"n5"	1	1	1	"1"	21.5199	1	0	0
"every"	312	1	"02a"	"DT"	"Evri"	"EvrI"	"E.vri"	"E.vrI"	0	2	2	"10"	22.1754	1	0	0
"once"	274	1	"02a"	"RB"	"wVns"	"wVns"	"wVns"	"wVns"	0	1	1	"1"	22.4848	1	0	0
"in"	46	1	"02a"	"IN"	"In"	"H"	"In"	"H"	0	1	1	"0"	22.7568	1	0	0
"awhile"	171	1	"02a"	"RB"	"Vw2l"	"V2l"	"V.w2l"	"V.2l"	0	2	2	"01"	22.8022	1	0	0
"with"	147	1	"02a"	"IN"	"wIT"	"wID"	"wIT"	"wID"	0	1	1	"1"	22.971	1	0	0
"my"	135	1	"02a"	"PRP$"	"m2"	"m2"	"m2"	"m2"	0	1	1	"1"	23.1161	1	0	0
"grandmother"	617	1	"02a"	"NN"	"gr{ndmVD3"	"gr{nmVD3"	"gr{nd.mV.D3"	"gr{n.mV.D3"	1	3	3	"120"	23.2494	1	0	0
"she"	770	1	"02a"	"PRP"	"Si"	"Si"	"Si"	"Si"	1	1	1	"1"	24.2271	1	0	0
"always"	282	1	"02a"	"RB"	"Qlw1z"	"Qw1z"	"Ql.w1z"	"Q.w1z"	0	2	2	"12"	25.275	1	0	0
"wanted"	219	1	"02a"	"VBD"	"wQntVd"	"wVnId"	"wQn.tVd"	"wV.nId"	0	2	2	"10"	25.5551	1	0	0
"me"	104	1	"02a"	"PRP"	"mi"	"mi"	"mi"	"mi"	0	1	1	"1"	25.7728	1	0	0
"to"	37	1	"02a"	"TO"	"tu"	"d"	"tu"	"d"	0	1	1	"1"	25.876	1	0	0
"become"	279	1	"02a"	"VB"	"bIkVm"	"bIkVm"	"bI.kVm"	"bI.kVm"	0	2	2	"01"	25.9125	1	0	0
"a"	68	1	"02a"	"DT"	"1"	"E"	"1"	"E"	0	1	1	"0"	26.1899	1	0	0
"nurse"	320	1	"02a"	"NN"	"n3s"	"n3s"	"n3s"	"n3s"	0	1	1	"1"	26.2575	1	0	0
"and"	50	1	"02a"	"CC"	"{nd"	"H"	"{nd"	"H"	0	1	1	"0"	26.5763	1	0	0
"i"	38	1	"02a"	"PRP"	"2"	"V"	"2"	"V"	0	1	1	"1"	26.6259	1	0	0
"was"	148	1	"02a"	"VBD"	"wVz"	"wVz"	"wVz"	"wVz"	0	1	1	"1"	26.6634	1	0	0
"a"	47	1	"02a"	"DT"	"1"	"I"	"1"	"I"	0	1	1	"0"	26.8101	1	0	0
"senior"	280	1	"02a"	"JJ"	"sinj3"	"sinj3"	"sin.j3"	"sin.j3"	0	2	2	"10"	26.8567	1	0	0
"in"	43	1	"02a"	"IN"	"In"	"H"	"In"	"H"	0	1	1	"0"	27.1338	1	0	0
"high"	151	1	"02a"	"JJ"	"h2"	"h2"	"h2"	"h2"	0	1	1	"1"	27.1763	1	0	0
"school"	222	1	"02a"	"NN"	"skul"	"skul"	"skul"	"skul"	0	1	1	"1"	27.3263	1	0	0
"when"	111	1	"02a"	"WRB"	"wEn"	"wVn"	"wEn"	"wVn"	0	1	1	"1"	27.5463	1	0	0
"she"	151	1	"02a"	"PRP"	"Si"	"Si"	"Si"	"Si"	0	1	1	"1"	27.6563	1	0	0
"died"	307	1	"02a"	"VBD"	"d2d"	"d2R"	"d2d"	"d2R"	0	1	1	"1"	27.8064	1	0	0
"and"	259	1	"02a"	"CC"	"{nd"	"End"	"{nd"	"End"	1	1	1	"0"	28.1122	1	0	0
"sometimes"	458	1	"02a"	"RB"	"sVmt2mz"	"sVmt2mz"	"sVm.t2mz"	"sVm.t2mz"	0	2	2	"01"	28.6408	1	0	0
"i"	94	1	"02a"	"PRP"	"2"	"2"	"2"	"2"	0	1	1	"1"	29.0963	1	0	0
"think"	261	1	"02a"	"NN"	"TINk"	"TINk"	"TINk"	"TINk"	0	1	1	"1"	29.1896	1	0	0
"boy"	343	1	"02a"	"NN"	"b4"	"b4"	"b4"	"b4"	1	1	1	"1"	29.4494	1	0	0
"she"	149	1	"02a"	"PRP"	"Si"	"SI"	"Si"	"SI"	0	1	1	"1"	30.3434	1	0	0
"really"	277	1	"02a"	"RB"	"rili"	"rIli"	"ri.li"	"rI.li"	0	2	2	"10"	30.4909	1	0	0
"like"	228	1	"02a"	"IN"	"l2k"	"l2k"	"l2k"	"l2k"	0	1	1	"1"	30.7668	1	0	0
"it"	38	1	"02a"	"PRP"	"It"	"I"	"It"	"I"	0	1	1	"1"	30.9941	1	0	0
"that"	189	1	"02a"	"IN"	"D{t"	"tD{"	"D{t"	"tD{"	0	1	1	"1"	31.0315	1	0	0
"i"	72	1	"02a"	"PRP"	"2"	"2"	"2"	"2"	0	1	1	"1"	31.2184	1	0	0
"was"	154	1	"02a"	"VBD"	"wVz"	"Vz"	"wVz"	"Vz"	0	1	1	"1"	31.2901	1	0	0
"a"	64	1	"02a"	"DT"	"1"	"V"	"1"	"V"	0	1	1	"0"	31.4437	1	0	0
"nurse"	302	1	"02a"	"NN"	"n3s"	"n3s"	"n3s"	"n3s"	1	1	1	"1"	31.5068	1	0	0
"because"	155	1	"02a"	"IN"	"bIkVz"	"kIz"	"bI.kVz"	"kIz"	0	2	1	"?"	31.9893	1	0	0
"i"	87	1	"02a"	"PRP"	"2"	"2"	"2"	"2"	0	1	1	"1"	32.1428	1	0	0
"still"	212	1	"02a"	"RB"	"stIl"	"stVl"	"stIl"	"stVl"	0	1	1	"1"	32.2292	1	0	0
"use"	182	1	"02a"	"VBP"	"juz"	"juz"	"juz"	"juz"	0	1	1	"1"	32.4389	1	0	0
"her"	61	1	"02a"	"PRP$"	"h3"	"3"	"h3"	"3"	0	1	1	"0"	32.6192	1	0	0
"bloodpressure"	494	1	"02a"	"NN"	"blVdprESEr"	"blVprES3"	"blVd.prE.SEr"	"blVp.rE.S3"	0	3	3	"???"	32.6792	1	0	0
"cuff"	250	1	"02a"	"VBZ"	"kVf"	"kVf"	"kVf"	"kVf"	0	1	1	"1"	33.1692	1	0	0
"an"	66	1	"02a"	"DT"	"{n"	"H"	"{n"	"H"	0	1	1	"1"	33.4179	1	0	0
"everything"	341	1	"02a"	"NN"	"EvriTIN"	"EvriTIN"	"E.vri.TIN"	"E.vri.TIN"	0	3	3	"102"	33.4829	1	0	0
"she"	171	1	"02a"	"PRP"	"Si"	"SI"	"Si"	"SI"	0	1	1	"1"	33.8192	1	0	0
"had"	48	1	"02a"	"VBD"	"h{d"	"h"	"h{d"	"h"	0	1	1	"1"	33.9892	1	0	0
"given"	274	1	"02a"	"VBN"	"gIvVn"	"gIvIn"	"gI.vVn"	"gI.vIn"	0	2	2	"10"	34.0362	1	0	0
"me"	165	1	"02a"	"PRP"	"mi"	"mi"	"mi"	"mi"	0	1	1	"1"	34.308	1	0	0
"her"	68	1	"02a"	"PRP$"	"h3"	"3"	"h3"	"3"	0	1	1	"0"	34.4717	1	0	0
"bloodpressure"	499	1	"02a"	"NN"	"blVdprESEr"	"blVprES3"	"blVd.prE.SEr"	"blVp.rE.S3"	0	3	3	"???"	34.5392	1	0	0
"cuff"	245	1	"02a"	"NN"	"kVf"	"k{f"	"kVf"	"k{f"	0	1	1	"1"	35.0324	1	0	0
